涨	x	1
跌	x	-1
牛	x	1
熊	x	-1
好	x	1
差	x	-1
不好	x	-1
涨停	3519212	1	
重组	2848108	-1	
利润	2613823	1	
买入	2318845	1	
科技	2127703	1	
垃圾	1956270	-1	
出货	1854453	-1	
开发	1836667	1	
机会	1730583	1	
下跌	1713369	-1	
问题	1532442	-1	
跌停	1526480	-1	
收入	1516535	1	
上涨	1300634	1	
风险	1284037	-1	
反弹	1269269	1	
拉升	1230540	1	
卖出	1210799	-1	
超过	1164569	1	
大股东	1164187	1	
龙头	1096477	1	
增加	1073884	1	
买进	1009453	1	
突破	1000342	1	
提高	991283	1	
创新	980897	1	
成功	949149	1	
盈利	933674	1	
优势	883560	1	
能力	800353	1	
亏损	773559	-1	
提升	766589	1	
分红	764116	1	
增发	747749	-1	
严重	732197	-1	
进一步	722310	1	
暴跌	703300	-1	
减持	692693	-1	
稳定	683734	1	
打压	650023	-1	
底部	631010	-1	
受益	626341	1	
上升	621730	1	
利好	618026	1	
高速	609238	1	
相信	608436	1	
洗盘	607179	-1	
快速	606703	1	
赚钱	605842	1	
压力	598180	-1	
低价	596522	-1	
推进	591401	1	
成长	573630	1	
改革	571585	1	
放量	571359	1	
震荡	565198	-1	
节能	560681	1	
建仓	540592	1	
割肉	539165	-1	
加快	532605	1	
潜力	528604	1	
利空	525448	-1	
推荐	522778	1	
危机	521822	-1	
支撑	521538	1	
快跑	501794	-1	
低估	496990	1	
最低	494254	-1	
推动	472696	1	
强势	466559	1	
跌幅	460400	-1	
良好	457974	1	
解决	452917	1	
动力	440122	1	
小心	425429	-1	
扩大	423717	1	
低于	421536	-1	
暴涨	415612	1	
绩优	414265	1	
拉高	409739	1	
被套	407367	-1	
获利	404399	1	
解禁	402318	1	
加强	401245	1	
耐心	392360	1	
保障	387860	1	
炒作	386261	-1	
加仓	375682	1	
信心	374579	1	
促进	364818	1	
增速	363481	1	
黑马	352840	1	
优质	346385	1	
措施	340673	1	
高手	331320	1	
抄底	328431	1	
忽悠	326719	-1	
牛股	325113	1	
健康	324793	1	
